participant_id,session,participant_list,dataset,music_subset,no_music_subset,song,test_mode,music_first,block,trial,subset,image_filename,image_onset_ms,isi_dur_ms,question_shown,response,rt_ms
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,1,b,"026 - 210640 - Untitled, from Insect Series.jpg",12,5991,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,2,b,042 - 186720 - Untitled.jpg,8027,5207,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,3,b,123 - 72353 - Abstract Landscape.jpg,15263,6304,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,4,b,192 - 79591 - The Green Line.jpg,23579,6667,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,5,b,190 - 16706 - Untitled.jpg,32264,4265,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,6,b,083 - 23979 - Capella.jpg,38551,5433,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,7,b,030 - 60736 - Cyclops.jpg,45998,3579,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,8,b,239 - 50290 - The Facetted Cliffs.jpg,51590,6396,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,9,b,168 - 251140 - White Cap.jpg,60003,3950,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,10,b,154 - 107255 - A la pintura Blue 5.jpg,65971,3792,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,11,b,058 - 48141 - Egypto.jpg,71777,6959,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,12,b,046 - 14316 - Classic Boundaries I.jpg,80758,6466,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,13,b,156 - 51723 - Machine.jpg,89238,4816,1,no_response,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,14,b,106 - 84243 - Affiche Metro.jpg,96076,5230,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,15,b,182 - 66020 - New York.jpg,103322,5347,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,16,b,088 - 80507 - Untitled (Composition with Grey Background).jpg,110685,4091,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,17,b,033 - 209555 - L'autophage (Fulgurites).jpg,116798,6492,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,18,b,009 - 98034 - A la pintura White 7-9.jpg,125307,3707,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,19,b,032 - 129845 - Intertexture.jpg,131032,5678,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,20,b,151 - 72889 - Painting.jpg,138726,4455,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,21,b,003 - 109443 - Oeuf au Plat.jpg,145193,4845,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,22,b,087 - 17444 - Composition with Red Arrow.jpg,152053,5068,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,23,b,"049 - 214080 - Untitled, Paris, March 1937.jpg",159135,3618,1,no_response,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,24,b,173 - 229371 - Untitled.jpg,164775,5051,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,25,b,117 - 82544 - Abstract Composition.jpg,171842,6601,1,no_response,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,26,b,054 - 50317 - Cube and Vent.jpg,180462,5728,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,27,b,141 - 63780 - Heraldry.jpg,188205,5171,0,,
amir-t,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,28,b,099 - 102207 - Composition Red White.jpg,195392,4407,1,yes,199790
