participant_id,session,participant_list,dataset,music_subset,no_music_subset,song,test_mode,music_first,block,trial,subset,image_filename,image_onset_ms,isi_dur_ms,question_shown,response,rt_ms
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,1,b,182 - 66020 - New York.jpg,2907,5787,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,2,b,117 - 82544 - Abstract Composition.jpg,12466,6098,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,3,b,003 - 109443 - Oeuf au Plat.jpg,22316,3906,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,4,b,033 - 209555 - L'autophage (Fulgurites).jpg,30319,5609,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,5,b,154 - 107255 - A la pintura Blue 5.jpg,40227,4986,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,6,b,141 - 63780 - Heraldry.jpg,49517,5645,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,7,b,151 - 72889 - Painting.jpg,59197,6255,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,8,b,032 - 129845 - Intertexture.jpg,69509,3677,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,9,b,168 - 251140 - White Cap.jpg,77080,5292,1,no_response,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,10,b,087 - 17444 - Composition with Red Arrow.jpg,86259,6453,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,11,b,099 - 102207 - Composition Red White.jpg,96809,5069,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,12,b,042 - 186720 - Untitled.jpg,105793,4608,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,13,b,083 - 23979 - Capella.jpg,114376,4482,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,14,b,190 - 16706 - Untitled.jpg,122647,4400,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,15,b,205 - 15154 - Primeval.jpg,130879,5962,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,16,b,058 - 48141 - Egypto.jpg,140773,5478,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,17,b,156 - 51723 - Machine.jpg,150114,5266,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,18,b,192 - 79591 - The Green Line.jpg,159212,6210,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,19,b,"026 - 210640 - Untitled, from Insect Series.jpg",169272,5424,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,20,b,054 - 50317 - Cube and Vent.jpg,178513,5688,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,21,b,123 - 72353 - Abstract Landscape.jpg,188109,4539,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,22,b,046 - 14316 - Classic Boundaries I.jpg,196526,4743,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,23,b,009 - 98034 - A la pintura White 7-9.jpg,205401,5529,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,24,b,239 - 50290 - The Facetted Cliffs.jpg,214830,6362,1,no_response,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,25,b,173 - 229371 - Untitled.jpg,224898,6058,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,26,b,088 - 80507 - Untitled (Composition with Grey Background).jpg,234905,3545,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,27,b,"049 - 214080 - Untitled, Paris, March 1937.jpg",242308,3732,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,28,b,030 - 60736 - Cyclops.jpg,249978,3781,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,29,b,106 - 84243 - Affiche Metro.jpg,257719,3948,1,no_response,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,1,30,b,094 - 146853 - Silver Tanks.jpg,265703,5135,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,1,a,126 - 13474 - Ocean Undulations Revealing Particles of Sand and Coral.jpg,2999,5778,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,2,a,068 - 66184 - White Black Curve.jpg,12644,4377,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,3,a,044 - 84246 - White (Bianco).jpg,20828,4247,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,4,a,127 - 60257 - La Ciudad Perdida (The Lost City).jpg,29112,6259,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,5,a,111 - 26085 - Composition #275.jpg,39341,5200,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,6,a,180 - 229352 - Figure 4.jpg,48857,5125,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,7,a,013 - 196081 - Untitled.jpg,58087,4889,1,no_response,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,8,a,178 - 111808 - Crypt.jpg,66852,3822,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,9,a,200 - 40614 - Untitled.jpg,74637,4770,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,10,a,199 - 109328 - Clock.jpg,83419,4661,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,11,a,012 - 64962 - Counter-Composition VIII.jpg,91918,5753,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,12,a,145 - 60259 - Towards the Unknown.jpg,101762,4227,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,13,a,037 - 107281 - A la pintura Red 1-3.jpg,109648,4893,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,14,a,157 - 77615 - Painting (Figures with Stars).jpg,118338,4046,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,15,a,045 - 105024 - Untitled.jpg,126121,5692,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,16,a,161 - 11103 - Composition in Brown.jpg,135716,4137,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,17,a,"098 - 99425 - Composition in Gray, Orange and Yellow.jpg",143709,4593,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,18,a,010 - 107327 - To Lee and Glynna.jpg,152327,5248,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,19,a,023 - 124768 - Untitled.jpg,161574,5145,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,20,a,079 - 97410 - Back on Earth.jpg,170510,4992,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,21,a,131 - 223342 - Overrun.jpg,179425,5010,1,no_response,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,22,a,001 - 228850 - Orient Express I.jpg,187880,3722,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,23,a,015 - 198303 - Tableau Vert.jpg,195317,6156,0,,
Alex-1988,Baseline,1,Group_1,a,b,song_1.mp3,0,0,2,24,a,191 - 54745 - The Rapidity of Sleep.jpg,205477,3540,1,no_response,
