participant_id,session,participant_list,dataset,music_subset,no_music_subset,song,test_mode,music_first,block,trial,subset,image_filename,image_onset_ms,isi_dur_ms,question_shown,response,rt_ms
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,1,a,"185 - 250755 - Untitled (Paris, rue des Grands-Augustins).jpg",2848,5596,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,2,a,069 - 93343 - Red Light.jpg,12304,4045,1,no_response,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,3,a,150 - 227588 - Untitled.jpg,20354,4840,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,4,a,055 - 23387 - Composition.jpg,28870,5425,1,no,6608
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,5,a,041 - 102235 - Amorosa Tropicalia.jpg,38464,5105,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,6,a,231 - 158639 - Blue Note.jpg,47530,5758,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,7,a,209 - 140613 - Figures.jpg,57080,5160,1,no,4190
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,8,a,143 - 78514 - Study.jpg,66063,5891,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,9,a,"062 - 63182 - Four Triangles within a Circle, #1.jpg",75496,6342,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,10,a,100 - 53632 - Unreal Construction.jpg,86012,5873,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,11,a,236 - 58842 - Garden on Debris.jpg,95879,5794,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,12,a,163 - 73402 - Constellation.jpg,106030,6335,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,13,a,166 - 22669 - Untitled.jpg,116465,6413,1,yes,7127
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,14,a,183 - 84256 - The Horse.jpg,131178,4621,1,no,4276
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,15,a,140 - 120817 - Composition.jpg,140090,3573,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,16,a,067 - 105078 - Fjord.jpg,148529,6336,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,17,a,167 - 186050 - The Second Part of the Return from Parnassus.jpg,165328,6470,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,18,a,107 - 80246 - Mosaic.jpg,187744,5018,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,19,a,162 - 117567 - Emergence.jpg,199277,6084,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,20,a,201 - 74164 - Symphony in Blue.jpg,209677,4465,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,21,a,181 - 62326 - Wings.jpg,218410,5254,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,22,a,102 - 63630 - Woman and Birds in Front of the Sun.jpg,228134,5350,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,23,a,136 - 6010 - Number 19.jpg,237509,3866,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,24,a,222 - 60254 - Invention.jpg,245317,3770,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,25,a,017 - 72177 - Heart of Darkness.jpg,252792,5247,1,no,2276
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,26,a,210 - 228638 - Galaxy (Fugetsudoten; e╠ü┬ó┬¿├ª┼ô╦åa╠è┬É┼Æa╠è┬ñ┬⌐).jpg,261993,3883,0,,
GAYA-ID_NUMBER,Baseline,4,Group_2,b,a,song_3.mp3,0,0,1,27,a,120 - 158376 - La Campagna Series #10.jpg,269531,4695,0,,
