participant_id,session,participant_list,dataset,music_subset,no_music_subset,song,test_mode,music_first,block,trial,subset,image_filename,image_onset_ms,isi_dur_ms,question_shown,response,rt_ms
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,1,a,163 - 73402 - Constellation.jpg,2883,5856,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,2,a,222 - 60254 - Invention.jpg,12450,3862,1,no_response,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,3,a,017 - 72177 - Heart of Darkness.jpg,20249,5151,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,4,a,210 - 228638 - Galaxy (Fugetsudoten; e╠ü┬ó┬¿├ª┼ô╦åa╠è┬É┼Æa╠è┬ñ┬⌐).jpg,29116,5654,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,5,a,120 - 158376 - La Campagna Series #10.jpg,38466,6033,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,6,a,100 - 53632 - Unreal Construction.jpg,48366,4386,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,7,a,"185 - 250755 - Untitled (Paris, rue des Grands-Augustins).jpg",56298,5170,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,8,a,231 - 158639 - Blue Note.jpg,65282,3574,1,no_response,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,9,a,162 - 117567 - Emergence.jpg,72699,4754,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,10,a,"062 - 63182 - Four Triangles within a Circle, #1.jpg",80999,4897,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,11,a,167 - 186050 - The Second Part of the Return from Parnassus.jpg,89465,5821,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,12,a,140 - 120817 - Composition.jpg,98948,6293,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,13,a,067 - 105078 - Fjord.jpg,108882,5733,0,,
levko-1108,Baseline,3,Group_2,a,b,song_1.mp3,0,1,1,14,a,183 - 84256 - The Horse.jpg,118282,5937,1,no_response,
