participant_id,session,participant_list,dataset,music_subset,no_music_subset,song,test_mode,music_first,block,trial,subset,image_filename,image_onset_ms,isi_dur_ms,question_shown,response,rt_ms
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,1,b,009 - 98034 - A la pintura White 7-9.jpg,2910,4301,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,2,b,"049 - 214080 - Untitled, Paris, March 1937.jpg",11051,5444,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,3,b,173 - 229371 - Untitled.jpg,20243,4272,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,4,b,099 - 102207 - Composition Red White.jpg,28218,5981,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,5,b,032 - 129845 - Intertexture.jpg,38051,5971,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,6,b,154 - 107255 - A la pintura Blue 5.jpg,48009,4215,1,no,5533
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,7,b,168 - 251140 - White Cap.jpg,55810,3956,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,8,b,106 - 84243 - Affiche Metro.jpg,63534,4235,1,no,3144
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,9,b,094 - 146853 - Silver Tanks.jpg,71664,6067,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,10,b,046 - 14316 - Classic Boundaries I.jpg,81656,5693,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,11,b,182 - 66020 - New York.jpg,91073,3772,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,12,b,054 - 50317 - Cube and Vent.jpg,98668,5070,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,13,b,190 - 16706 - Untitled.jpg,107518,4833,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,14,b,156 - 51723 - Machine.jpg,116093,6258,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,15,b,123 - 72353 - Abstract Landscape.jpg,126252,5094,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,16,b,141 - 63780 - Heraldry.jpg,135102,4065,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,17,b,"026 - 210640 - Untitled, from Insect Series.jpg",142919,5439,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,18,b,151 - 72889 - Painting.jpg,152152,6005,1,no,3252
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,19,b,205 - 15154 - Primeval.jpg,161765,4428,1,no,2944
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,20,b,030 - 60736 - Cyclops.jpg,170106,4693,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,21,b,083 - 23979 - Capella.jpg,178623,3893,1,yes,3463
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,22,b,042 - 186720 - Untitled.jpg,186290,5767,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,23,b,117 - 82544 - Abstract Composition.jpg,195865,4666,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,24,b,087 - 17444 - Composition with Red Arrow.jpg,204240,4919,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,25,b,088 - 80507 - Untitled (Composition with Grey Background).jpg,212964,3555,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,26,b,033 - 209555 - L'autophage (Fulgurites).jpg,220248,5429,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,27,b,239 - 50290 - The Facetted Cliffs.jpg,229415,6323,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,28,b,003 - 109443 - Oeuf au Plat.jpg,239314,4180,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,29,b,192 - 79591 - The Green Line.jpg,247273,4553,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,1,30,b,058 - 48141 - Egypto.jpg,255732,6123,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,music_rating,,,,,,,valence:4 arousal:1,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,1,a,076 - 103403 - Laughter.jpg,2789,5939,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,2,a,145 - 60259 - Towards the Unknown.jpg,12523,3791,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,3,a,199 - 109328 - Clock.jpg,20156,5499,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,4,a,111 - 26085 - Composition #275.jpg,29256,3833,1,no,3931
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,5,a,200 - 40614 - Untitled.jpg,36873,3860,1,no,3214
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,6,a,023 - 124768 - Untitled.jpg,44477,5902,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,7,a,152 - 237892 - Tikpo.jpg,54227,4493,1,no,3166
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,8,a,001 - 228850 - Orient Express I.jpg,62152,5710,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,9,a,126 - 13474 - Ocean Undulations Revealing Particles of Sand and Coral.jpg,71760,5792,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,10,a,"098 - 99425 - Composition in Gray, Orange and Yellow.jpg",81369,3753,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,11,a,191 - 54745 - The Rapidity of Sleep.jpg,88968,5997,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,12,a,178 - 111808 - Crypt.jpg,98727,5116,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,13,a,127 - 60257 - La Ciudad Perdida (The Lost City).jpg,107586,6484,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,14,a,010 - 107327 - To Lee and Glynna.jpg,118069,6432,1,no,3379
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,15,a,008 - 66204 - Ouk 2.jpg,128436,6099,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,16,a,180 - 229352 - Figure 4.jpg,138311,5341,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,17,a,134 - 75643 - Duke Leader (Ladder) Not Alone.jpg,147294,3527,0,,
דן9488,Baseline,2,Group_1,b,a,song_3.mp3,0,1,2,18,a,079 - 97410 - Back on Earth.jpg,154428,6407,0,,
