participant_id,session,participant_list,dataset,music_subset,no_music_subset,song,test_mode,music_first,block,trial,subset,image_filename,image_onset_ms,isi_dur_ms,question_shown,response,rt_ms
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,1,b,239 - 50290 - The Facetted Cliffs.jpg,2482,4269,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,2,b,054 - 50317 - Cube and Vent.jpg,10429,4484,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,3,b,168 - 251140 - White Cap.jpg,18476,4727,1,no,4996
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,4,b,156 - 51723 - Machine.jpg,26856,4243,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,5,b,106 - 84243 - Affiche Metro.jpg,34620,6292,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,6,b,032 - 129845 - Intertexture.jpg,44550,3848,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,7,b,088 - 80507 - Untitled (Composition with Grey Background).jpg,51997,6312,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,8,b,182 - 66020 - New York.jpg,61927,6278,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,9,b,123 - 72353 - Abstract Landscape.jpg,71890,5423,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,10,b,141 - 63780 - Heraldry.jpg,80987,5411,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,11,b,087 - 17444 - Composition with Red Arrow.jpg,90033,3690,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,12,b,205 - 15154 - Primeval.jpg,97297,5204,1,no,6380
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,13,b,099 - 102207 - Composition Red White.jpg,106094,4354,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,14,b,046 - 14316 - Classic Boundaries I.jpg,114008,5232,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,15,b,"026 - 210640 - Untitled, from Insect Series.jpg",122755,4462,1,yes,3651
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,16,b,058 - 48141 - Egypto.jpg,130802,5913,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,17,b,151 - 72889 - Painting.jpg,140315,5306,1,no,6507
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,18,b,009 - 98034 - A la pintura White 7-9.jpg,149312,6265,0,,
מיכל הבכינית,Baseline,1,Group_1,a,b,,0,0,1,19,b,117 - 82544 - Abstract Composition.jpg,159159,5351,0,,
