participant_id,session,participant_list,dataset,music_subset,session_song,test_mode,block,trial,image_filename,subset,encoding_condition,ground_truth,music_context,recognition_response,certainty,image_valence,image_arousal,rt_recognition_ms,rt_certainty_ms,rt_valence_ms,rt_arousal_ms
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,1,205 - 15154 - Primeval.jpg,b,music,seen,True,no,4,4,2,4780,4919,7873,3020
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,2,097 - 102245 - Con brio.jpg,d,new,new,True,no,2,4,3,6394,2011,5035,2882
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,3,226 - 63783 - Melusine and the Great Transparents.jpg,d,new,new,True,no,4,5,4,4987,2370,12219,4539
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,4,076 - 103403 - Laughter.jpg,a,no_music,seen,True,yes,5,3,1,3234,1962,9610,2925
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,5,118 - 189206 - Untitled.jpg,d,new,new,True,no,3,3,1,5451,5502,4889,2649
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,6,195 - 9524 - Rite.jpg,d,new,new,True,yes,2,2,2,6384,3221,5940,3236
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,7,188 - 22479 - Study for Around a Point.jpg,d,new,new,True,no,3,3,4,4582,4666,11158,2191
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,8,002 - 61748 - Brilliant Yellow #9.jpg,d,new,new,True,no,4,3,1,3533,907,7019,2180
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,9,064 - 257310 - Peau de soleil.jpg,d,new,new,True,no,2,2,4,18012,2492,5575,3180
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,10,099 - 102207 - Composition Red White.jpg,b,music,seen,True,yes,4,4,2,3887,1889,2850,2311
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,11,080 - 65920 - Provincetown.jpg,d,new,new,True,no,3,4,3,5487,2220,4640,7248
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,12,036 - 32825 - Untitled.jpg,d,new,new,True,no,4,4,5,4112,1786,4089,1203
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,13,008 - 66204 - Ouk 2.jpg,a,no_music,seen,True,yes,3,3,4,5500,1014,6392,2399
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,14,151 - 72889 - Painting.jpg,b,music,seen,True,yes,2,3,4,10550,900,8453,11345
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,15,110 - 80245 - Japanese Fantasy.jpg,d,new,new,True,yes,3,4,2,5278,826,8477,4180
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,16,217 - 9550 - The Dreadful Feast of Flesh.jpg,d,new,new,True,no,3,2,5,7091,2678,8292,2139
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,17,058 - 48141 - Egypto.jpg,b,music,seen,True,yes,5,4,2,3686,834,4337,2304
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,18,050 - 28542 - Texturology LX (Vacation in the Sun).jpg,d,new,new,True,no,4,2,2,4131,1895,4304,2382
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,19,152 - 237892 - Tikpo.jpg,a,no_music,seen,True,no,3,2,3,8707,2298,10724,2376
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,20,009 - 98034 - A la pintura White 7-9.jpg,b,music,seen,True,yes,5,4,1,2962,931,4227,2026
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,21,106 - 84243 - Affiche Metro.jpg,b,music,seen,True,yes,5,4,4,3522,935,2617,7055
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,22,013 - 196081 - Untitled.jpg,a,no_music,seen,True,yes,5,3,4,4669,1044,5367,2756
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,23,"084 - 59822 - Nuclear I, CH.jpg",d,new,new,True,no,4,5,4,3422,2919,4829,3369
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,24,227 - 254887 - Wake.jpg,d,new,new,True,no,2,4,5,4520,1724,2467,2224
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,25,154 - 107255 - A la pintura Blue 5.jpg,b,music,seen,True,yes,5,4,1,2901,1292,3068,1492
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,26,"219 - 102208 - Composition Red, Blue, Yellow, White.jpg",d,new,new,True,yes,2,2,4,4379,2731,7152,2857
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,27,047 - 13481 - Fourth Avenue.jpg,d,new,new,True,yes,2,4,5,5659,2759,2885,1517
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,28,212 - 56680 - Returning Life.jpg,d,new,new,True,yes,2,4,2,3578,1403,3277,3067
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,29,"049 - 214080 - Untitled, Paris, March 1937.jpg",b,music,seen,True,yes,2,3,4,7232,1044,3885,1707
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,30,094 - 146853 - Silver Tanks.jpg,b,music,seen,True,yes,5,2,2,3514,1209,5767,2455
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,31,079 - 97410 - Back on Earth.jpg,a,no_music,seen,True,no,4,2,3,2885,2887,4221,2083
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,32,191 - 54745 - The Rapidity of Sleep.jpg,a,no_music,seen,True,yes,4,4,5,5196,899,2878,1247
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,33,240 - 33769 - Lousy Fear.jpg,d,new,new,True,no,4,1,2,3314,2188,4055,2227
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,34,119 - 66017 - Entrance to New York.jpg,d,new,new,True,yes,3,4,4,5183,1180,15786,2516
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,35,023 - 124768 - Untitled.jpg,a,no_music,seen,True,yes,5,3,5,3370,1920,4443,2342
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,36,137 - 254119 - Composition.jpg,d,new,new,True,no,4,2,4,2898,1477,4698,2941
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,37,200 - 40614 - Untitled.jpg,a,no_music,seen,True,no,3,3,5,4467,1891,5756,1527
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,38,112 - 229369 - Study for the Muses (Eaglesmere Version).jpg,d,new,new,True,no,4,5,2,4420,3642,2381,1616
3771,Baseline,2,Group_1,b,song_2.mp3,0,1,39,122 - 257350 - Mountain.jpg,d,new,new,True,no,2,5,1,5360,726,4326,1239
