participant_id,session,participant_list,dataset,music_subset,session_song,test_mode,block,trial,image_filename,subset,encoding_condition,ground_truth,music_context,recognition_response,certainty,image_valence,image_arousal,rt_recognition_ms,rt_certainty_ms,rt_valence_ms,rt_arousal_ms
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,1,175 - 74690 - The Embryo.jpg,c,new,new,True,no,5,3,2,3952,2734,14653,5207
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,2,051 - 230054 - Metasigne.jpg,c,new,new,True,no,4,4,4,4411,2071,5577,3801
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,3,074 - 110991 - Orphist Composition with Disks.jpg,c,new,new,True,no,3,4,3,4990,1773,8504,3839
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,4,151 - 72889 - Painting.jpg,b,no_music,seen,True,no,4,1,3,3345,2757,8405,11122
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,5,134 - 75643 - Duke Leader (Ladder) Not Alone.jpg,a,music,seen,True,no,2,3,3,5434,1703,7313,3045
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,6,058 - 48141 - Egypto.jpg,b,no_music,seen,True,no,4,3,1,5743,6227,5123,1731
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,7,114 - 50529 - Physiognomy of Fragments.jpg,c,new,new,True,yes,3,2,2,8799,2006,14371,8496
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,8,099 - 102207 - Composition Red White.jpg,b,no_music,seen,True,no,2,2,3,6594,4051,12371,4266
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,9,109 - 193425 - Avant le jour.jpg,c,new,new,True,no,4,3,1,2844,2206,4469,3179
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,10,154 - 107255 - A la pintura Blue 5.jpg,b,no_music,seen,True,yes,3,5,4,4945,2232,3120,3178
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,11,081 - 229998 - Conjunction 79a╠éΓé¼ΓÇ£31.jpg,c,new,new,True,no,5,3,3,2879,2144,3395,1065
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,12,032 - 129845 - Intertexture.jpg,b,no_music,seen,True,yes,5,4,2,2889,1502,9488,5707
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,13,008 - 66204 - Ouk 2.jpg,a,music,seen,True,no,4,3,5,5422,1926,11519,1059
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,14,173 - 229371 - Untitled.jpg,b,no_music,seen,True,yes,3,3,4,3881,1466,3739,1917
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,15,199 - 109328 - Clock.jpg,a,music,seen,True,no,4,1,3,4219,3048,2253,3581
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,16,221 - 117561 - Green Park.jpg,c,new,new,True,yes,2,4,4,6151,4549,4527,3791
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,17,065 - 207003 - Nine Clearings for a Standing Man.jpg,c,new,new,True,no,3,3,1,3559,3478,3418,1011
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,18,161 - 11103 - Composition in Brown.jpg,a,music,seen,True,no,2,2,4,5826,1844,3783,2539
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,19,184 - 236861 - Aesthetic Function in Space.jpg,c,new,new,True,yes,2,3,4,4967,2433,8270,3151
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,20,168 - 251140 - White Cap.jpg,b,no_music,seen,True,yes,2,2,3,8333,1556,20614,2755
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,21,176 - 107321 - Egypt Day and Night #109.jpg,c,new,new,True,no,4,4,3,2716,1447,8509,2057
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,22,238 - 76910 - Blue Rhythm.jpg,c,new,new,True,yes,3,5,4,4423,884,4155,2220
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,23,117 - 82544 - Abstract Composition.jpg,b,no_music,seen,True,yes,5,3,4,2891,1216,5439,3193
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,24,"049 - 214080 - Untitled, Paris, March 1937.jpg",b,no_music,seen,True,yes,3,4,2,4965,2363,3500,2103
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,25,186 - 113680 - Homage to Marcel Duchamp (recto); Construction (verso).jpg,c,new,new,True,no,4,3,3,3121,2144,5762,3219
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,26,006 - 257404 - Blacklash.jpg,c,new,new,True,no,3,2,4,3589,15012,2977,3180
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,27,215 - 159630 - Mold (Muffa).jpg,c,new,new,True,no,4,5,5,4409,1886,6029,2698
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,28,152 - 237892 - Tikpo.jpg,a,music,seen,True,no,4,3,3,3204,6291,2538,1163
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,29,076 - 103403 - Laughter.jpg,a,music,seen,True,yes,3,3,2,3160,1125,2376,2861
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,30,"098 - 99425 - Composition in Gray, Orange and Yellow.jpg",a,music,seen,True,yes,4,4,2,2824,1222,4220,7816
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,31,063 - 98025 - A la pintura Red 1-3.jpg,c,new,new,True,no,4,3,5,3364,1594,5263,2528
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,32,"078 - 225731 - Characters in the Night Guided by the Phosphorescent Tracks of Snails, plate three from Constellations.jpg",c,new,new,True,yes,4,2,4,3438,3292,5287,5702
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,33,030 - 60736 - Cyclops.jpg,b,no_music,seen,True,yes,3,5,1,3035,1841,5596,1567
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,34,239 - 50290 - The Facetted Cliffs.jpg,b,no_music,seen,True,yes,2,3,5,5135,2555,6618,4261
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,35,077 - 49717 - Composition with Figures.jpg,c,new,new,True,no,2,4,3,5519,3588,6341,5179
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,36,037 - 107281 - A la pintura Red 1-3.jpg,a,music,seen,True,no,5,3,1,3791,3002,4983,5804
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,37,045 - 105024 - Untitled.jpg,a,music,seen,True,no,2,4,1,3475,1722,2150,4415
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,38,192 - 79591 - The Green Line.jpg,b,no_music,seen,True,no,5,5,5,3645,2643,3643,3421
Alex-1988,Baseline,1,Group_1,a,song_1.mp3,0,1,39,198 - 238802 - Untitled.jpg,c,new,new,True,no,1,1,4,3628,3669,4908,3121
