participant_id,session,participant_list,dataset,music_subset,session_song,test_mode,block,trial,image_filename,subset,encoding_condition,ground_truth,music_context,recognition_response,certainty,image_valence,image_arousal,rt_recognition_ms,rt_certainty_ms,rt_valence_ms,rt_arousal_ms
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,1,170 - 185759 - Halleluiah.jpg,b,music,seen,True,no,2,3,4,23058,7565,7844,4767
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,2,179 - 37749 - Departing.jpg,c,new,new,True,no,2,3,4,7756,4357,9036,2356
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,3,121 - 135521 - Untitled.jpg,a,no_music,seen,True,yes,3,4,4,4068,3096,3937,4010
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,4,163 - 73402 - Constellation.jpg,a,no_music,seen,True,yes,4,4,2,4788,1751,3820,2987
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,5,144 - 22369 - Painting 62.jpg,c,new,new,True,no,5,1,4,4578,3524,2876,4437
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,6,140 - 120817 - Composition.jpg,a,no_music,seen,True,yes,4,3,3,3780,2464,3855,891
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,7,095 - 93779 - Study for the Hall of Medical Sciences Mural at the 1939 World's Fair in New York.jpg,c,new,new,True,no,2,4,2,11679,1994,2333,1333
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,8,142 - 156077 - Transom #2 (Twilight).jpg,b,music,seen,True,yes,4,4,2,3613,1250,9848,2120
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,9,228 - 204041 - Extemporaneous.jpg,c,new,new,True,no,3,2,4,4652,4190,9246,3430
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,10,177 - 61650 - 11th January 1981.jpg,c,new,new,True,no,4,4,2,3454,1892,4477,4174
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,11,005 - 99542 - 1967 (Silver Brown).jpg,c,new,new,True,no,5,3,3,3482,1473,4667,2363
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,12,019 - 20397 - First Theme.jpg,b,music,seen,True,yes,5,3,1,3204,1261,4261,2129
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,13,021 - 210010 - Florescence.jpg,c,new,new,True,no,3,5,1,4119,4817,3061,1628
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,14,169 - 185048 - Empathy Displacement Loopy in Blue and Orange.jpg,c,new,new,True,no,3,3,5,6698,3512,6384,1576
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,15,102 - 63630 - Woman and Birds in Front of the Sun.jpg,a,no_music,seen,True,yes,5,4,4,3557,2039,6773,2690
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,16,060 - 152753 - Untitled.jpg,c,new,new,True,no,5,3,3,3326,1627,4543,590
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,17,153 - 102580 - Otium cum Dignitade.jpg,b,music,seen,True,yes,2,4,2,3368,1089,5553,2422
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,18,059 - 222922 - Untitled.jpg,c,new,new,True,yes,1,3,3,13341,1215,2571,655
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,19,093 - 99611 - 26987.jpg,c,new,new,True,no,4,2,4,4397,2003,5153,1546
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,20,213 - 217465 - Reflections in Space.jpg,b,music,seen,True,no,1,4,2,6622,2424,2836,3622
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,21,150 - 227588 - Untitled.jpg,a,no_music,seen,True,yes,4,2,2,3559,1239,3484,2651
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,22,214 - 53195 - Dragon Fly.jpg,c,new,new,True,yes,2,4,2,4408,2658,1907,1517
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,23,187 - 53501 - Trinity.jpg,c,new,new,True,yes,3,3,3,3365,3041,3152,950
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,24,101 - 208201 - Untitled.jpg,b,music,seen,True,no,2,4,1,4709,1215,2727,1634
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,25,237 - 146994 - Ice (1).jpg,c,new,new,True,yes,3,5,2,3917,3847,2975,1562
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,26,055 - 23387 - Composition.jpg,a,no_music,seen,True,no,2,3,3,4165,1657,4367,729
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,27,235 - 65963 - Ocean and Rocks.jpg,c,new,new,True,yes,2,4,2,3112,1703,4907,3065
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,28,132 - 256803 - Untitled.jpg,b,music,seen,True,no,2,4,2,5154,1711,2924,876
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,29,225 - 129138 - Study for El Meusaje.jpg,b,music,seen,True,yes,4,2,4,3175,1376,9063,2595
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,30,107 - 80246 - Mosaic.jpg,a,no_music,seen,True,yes,5,4,4,3075,1282,5054,1549
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,31,105 - 5394 - Untitled.jpg,b,music,seen,True,yes,2,3,3,3420,1266,2133,581
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,32,211 - 237886 - Waterfall.jpg,c,new,new,True,no,2,4,2,3869,4111,1808,1111
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,33,040 - 97405 - Macy's Jet Set.jpg,c,new,new,True,no,4,4,4,3641,1628,2019,893
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,34,029 - 33219 - White Median.jpg,c,new,new,True,no,5,3,3,3910,1776,2180,671
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,35,035 - 66190 - Number Three.jpg,c,new,new,True,no,4,4,4,3262,1038,1909,725
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,36,034 - 93349 - Untitled.jpg,c,new,new,True,yes,2,3,3,6805,2853,2467,1203
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,37,129 - 78504 - Faintness (Matite).jpg,c,new,new,True,yes,2,1,5,3387,2522,2129,1931
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,38,167 - 186050 - The Second Part of the Return from Parnassus.jpg,a,no_music,seen,True,yes,4,4,1,3379,1143,2390,1541
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,39,056 - 24658 - 21992.jpg,c,new,new,True,no,2,5,5,2991,2197,1121,6253
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,40,196 - 8987 - Painting with Green Center.jpg,b,music,seen,True,yes,2,4,4,3322,1858,2405,1660
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,41,149 - 73496 - Hydra.jpg,b,music,seen,True,yes,4,4,4,3232,2493,1741,1283
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,42,143 - 78514 - Study.jpg,a,no_music,seen,True,yes,2,4,4,2897,3761,1787,1216
GAYA-ID_NUMBER,Baseline,4,Group_2,b,song_3.mp3,0,1,43,113 - 23133 - Untitled.jpg,c,new,new,True,no,4,4,4,3123,1639,1894,1004
