participant_id,session,participant_list,dataset,music_subset,session_song,test_mode,block,trial,image_filename,subset,encoding_condition,ground_truth,music_context,recognition_response,certainty,image_valence,image_arousal,rt_recognition_ms,rt_certainty_ms,rt_valence_ms,rt_arousal_ms
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,1,001 - 228850 - Orient Express I.jpg,a,no_music,seen,True,no,4,2,3,3280,2939,5140,6813
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,2,013 - 196081 - Untitled.jpg,a,no_music,seen,True,no,2,4,2,4876,7982,9635,3082
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,3,118 - 189206 - Untitled.jpg,d,new,new,True,yes,3,3,3,3851,1212,2309,1317
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,4,212 - 56680 - Returning Life.jpg,d,new,new,True,yes,2,3,2,5550,1189,7523,1179
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,5,099 - 102207 - Composition Red White.jpg,b,music,seen,True,yes,5,3,4,2811,1175,5959,1812
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,6,"219 - 102208 - Composition Red, Blue, Yellow, White.jpg",d,new,new,True,yes,4,3,4,2876,872,5493,798
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,7,182 - 66020 - New York.jpg,b,music,seen,True,yes,4,4,4,3757,1300,5050,1538
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,8,119 - 66017 - Entrance to New York.jpg,d,new,new,True,yes,3,3,3,2547,700,3096,2333
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,9,023 - 124768 - Untitled.jpg,a,no_music,seen,True,yes,5,4,4,2762,1504,5211,910
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,10,123 - 72353 - Abstract Landscape.jpg,b,music,seen,True,yes,4,4,4,2921,700,2304,1766
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,11,050 - 28542 - Texturology LX (Vacation in the Sun).jpg,d,new,new,True,no,3,2,4,2738,8832,2165,3954
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,12,070 - 66210 - Untitled.jpg,d,new,new,True,yes,3,3,3,2607,1873,7357,716
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,13,156 - 51723 - Machine.jpg,b,music,seen,True,yes,4,3,3,2777,804,6875,1425
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,14,159 - 63990 - Stakim.jpg,a,no_music,seen,True,yes,4,3,2,2522,654,2929,779
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,15,226 - 63783 - Melusine and the Great Transparents.jpg,d,new,new,True,no,4,3,4,2822,725,8756,803
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,16,205 - 15154 - Primeval.jpg,b,music,seen,True,yes,5,4,2,2923,785,1929,3387
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,17,097 - 102245 - Con brio.jpg,d,new,new,True,no,4,2,4,2898,3081,4309,1502
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,18,086 - 51692 - Coss Ballance II.jpg,d,new,new,True,no,3,4,1,3494,892,1725,1240
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,19,088 - 80507 - Untitled (Composition with Grey Background).jpg,b,music,seen,True,no,2,3,4,3609,875,2984,517
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,20,058 - 48141 - Egypto.jpg,b,music,seen,True,yes,1,3,2,3150,1119,2773,466
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,21,002 - 61748 - Brilliant Yellow #9.jpg,d,new,new,True,no,5,3,3,2767,1160,3734,400
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,22,111 - 26085 - Composition #275.jpg,a,no_music,seen,True,yes,3,2,3,2717,1389,1964,1875
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,23,003 - 109443 - Oeuf au Plat.jpg,b,music,seen,True,yes,5,4,1,5101,657,2398,1888
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,24,014 - 129094 - Kewalo Close-Up.jpg,d,new,new,True,no,4,4,3,2883,1379,3763,636
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,25,047 - 13481 - Fourth Avenue.jpg,d,new,new,True,no,3,2,4,3119,1032,2559,1346
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,26,053 - 82542 - Abstract Composition.jpg,d,new,new,True,yes,4,4,1,2838,2788,3420,1599
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,27,090 - 145878 - Untitled.jpg,d,new,new,True,no,3,3,2,2508,1121,2237,496
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,28,066 - 31600 - Earth.jpg,d,new,new,True,no,4,2,4,8835,1184,1678,1823
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,29,137 - 254119 - Composition.jpg,d,new,new,True,no,3,2,2,2873,806,2264,1789
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,30,168 - 251140 - White Cap.jpg,b,music,seen,True,no,3,3,1,2900,1265,2150,2051
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,31,217 - 9550 - The Dreadful Feast of Flesh.jpg,d,new,new,True,no,4,2,4,3611,1204,1979,746
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,32,080 - 65920 - Provincetown.jpg,d,new,new,True,yes,2,3,2,3484,545,2994,644
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,33,032 - 129845 - Intertexture.jpg,b,music,seen,True,yes,5,4,4,2851,1158,6884,1030
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,34,195 - 9524 - Rite.jpg,d,new,new,True,no,3,3,2,2763,676,2804,763
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,35,126 - 13474 - Ocean Undulations Revealing Particles of Sand and Coral.jpg,a,no_music,seen,True,yes,4,4,5,2814,1200,2716,3158
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,36,079 - 97410 - Back on Earth.jpg,a,no_music,seen,True,no,2,2,2,2751,1045,1509,374
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,37,158 - 15156 - The Golden Wall.jpg,d,new,new,True,no,2,3,3,3000,3228,2233,1896
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,38,"084 - 59822 - Nuclear I, CH.jpg",d,new,new,True,no,5,4,4,2453,717,3791,321
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,39,016 - 10999 - Harmonized Region.jpg,a,no_music,seen,True,yes,5,4,1,2846,728,2868,1108
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,40,117 - 82544 - Abstract Composition.jpg,b,music,seen,True,yes,4,4,2,2584,767,2000,829
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,41,112 - 229369 - Study for the Muses (Eaglesmere Version).jpg,d,new,new,True,no,4,4,3,2594,1176,2230,2067
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,42,087 - 17444 - Composition with Red Arrow.jpg,b,music,seen,True,no,4,2,3,3135,758,1717,1050
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,43,240 - 33769 - Lousy Fear.jpg,d,new,new,True,no,5,4,4,2739,532,4056,266
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,44,064 - 257310 - Peau de soleil.jpg,d,new,new,True,no,2,2,3,2750,733,2418,1141
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,45,146 - 58233 - For the Incantation to the Entrance.jpg,d,new,new,True,yes,2,3,2,2806,844,3292,702
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,46,188 - 22479 - Study for Around a Point.jpg,d,new,new,True,yes,3,4,3,4382,1029,7658,1158
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,47,122 - 257350 - Mountain.jpg,d,new,new,True,no,4,3,3,2626,635,1711,1914
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,48,076 - 103403 - Laughter.jpg,a,no_music,seen,True,yes,3,4,3,3205,632,5347,904
דן9488,Baseline,2,Group_1,b,song_3.mp3,0,1,49,068 - 66184 - White Black Curve.jpg,a,no_music,seen,True,no,4,3,3,2966,926,2999,4664
